    #         X           Y           Z       CHARGE      MIN DIST   ATOMIC VOL
 --------------------------------------------------------------------------------
    1    7.120276   13.175146    9.405064    5.685763     0.994361    95.462093
    2    9.884840   12.417059    9.754700    4.809201     0.739818    79.613361
    3   12.061409    9.647268   10.203180    1.555516     0.394478 11941.738112
    4    3.513334   11.759382    9.401606    1.712936     0.399826  8470.112541
    5    5.617948    9.785329    8.217584    1.690692     0.397897  7340.087916
    6    6.737633   14.599870   10.915695    1.943144     0.516477  6999.628678
    7    7.094371   14.264789    7.579310    1.966490     0.561024  6669.030413
    8   11.646065   13.925610    9.723651    8.917104     1.196901  9525.754889
    9   10.218732    9.863150   10.046859    8.849334     1.122345  1654.739627
   10    5.324648   11.094569    9.624450    7.869670     1.119712  1210.411938
 --------------------------------------------------------------------------------
    VACUUM CHARGE:               0.0000
    VACUUM VOLUME:               0.0000
    NUMBER OF ELECTRONS:        44.9999
